id,name,type,latitude,longitude,city,radius_minutes
33823,Aarau Bahnhof,m,47.3919221,8.0528306,Aarau,20
33833,Solothurn Öufi,m,47.2113187,7.5261313,Solothurn,20
33843,Fislisbach,m,47.4363454,8.2908926,Fislisbach,20
33853,Solothurn Baselstrasse,m,47.2112133,7.5446377,Solothurn,20
33863,Zuchwil,m,47.2033261,7.5600061,Zuchwil,20
33873,Murgenthal,m,47.2649304,7.8289909,Murgenthal,20
33883,Schöftland,m,47.3027032,8.0474765,Schöftland,20
33893,Berikon - Mutschellen,m,47.3631663,8.3664932,Berikon,20
33903,Fahrwangen,m,47.2942089,8.2432889,Fahrwangen,20
33913,Seon,m,47.3477982,8.1612469,Seon,20
33920,Heimberg,m,46.782963,7.609361,Heimberg,20
33923,Oensingen,m,47.2889751,7.718937,Oensingen,20
33934,Muri AG,mm,47.2720346,8.3419017,Muri AG,20
33953,Gränichen,m,47.3598479,8.0979932,Gränichen,20
33963,Menziken,m,47.2416,8.1865863,Menziken,20
34180,Steffisburg Unterdorf,mm,46.77754,7.634178,Steffisburg,20
34190,Konolfingen,mm,46.8764297,7.6211259,Konolfingen,20
34200,Burgdorf - Neumarkt,mm,47.0592476,7.6208431,Burgdorf,20
34210,Bern - Bethlehem,mm,46.9475326,7.3832855,Bern,20
34213,Aarau - Igelweid,mm,47.3917082,8.0460946,Aarau,20
34220,Bern - Freudenberg,mm,46.9454091,7.4727611,Bern,20
34230,Bern - Winkelried,mm,46.9657983,7.4635232,Bern,20
34233,Baden - City,mm,47.4771453,8.3086998,Baden,20
34240,Köniz - Bläuacker,mm,46.9235082,7.414453,Köniz,20
34243,Lenzburg,mm,47.3870206,8.1768398,Lenzburg,20
34250,Thun - Bälliz,mm,46.7601164,7.6266358,Thun,20
34253,Oftringen,mm,47.3125554,7.9213265,Oftringen,20
34260,Biel - Neumarkt,mm,47.140721,7.2475398,Biel/Bienne,20
34263,Bremgarten AG,mm,47.3526495,8.3497522,Bremgarten AG,20
34270,Münsingen,mm,46.8731986,7.5601405,Münsingen,20
34280,Spiez - Terminus,mm,46.6857824,7.6817159,Spiez,20
34290,Herzogenbuchsee,mm,47.18653,7.7037935,Herzogenbuchsee,20
34293,Rheinfelden,mm,47.555335,7.7982876,Rheinfelden,20
34300,Interlaken,mm,46.6815587,7.8521379,Interlaken,20
34310,Langenthal,mm,47.2143024,7.7841656,Langenthal,20
34320,Bern - Westside,mm,46.9455311,7.3743954,Bern,20
34323,Wettingen - Landstrasse,mm,47.467274,8.324826,Wettingen,20
34330,Nidau,mm,47.1263507,7.2463285,Nidau,20
34333,Wohlen,mm,47.3493209,8.2724163,Wohlen AG,20
34340,Worb,mm,46.9266974,7.5649883,Worb,20
34350,Wabern - Chly Wabere,mm,46.922607,7.4597626,Wabern,20
34360,Bern - Zähringer,mm,46.955387,7.433226,Bern,20
34363,Zofingen,mm,47.2914999,7.9421429,Zofingen,20
34373,Solothurn,m,47.2068855,7.533167,Solothurn,20
34380,Hinterkappelen - Chappelemärit,mm,46.96677,7.3766563,Hinterkappelen,20
34383,Olten - Hammer,mm,47.3499928,7.8987827,Olten,20
34390,Biel - Madretsch,mm,47.1320095,7.2523976,Biel/Bienne,20
34393,Bad Zurzach,mm,47.5857967,8.2959683,Bad Zurzach,20
34400,Huttwil,mm,47.1137122,7.8401887,Huttwil,20
34403,Olten - Sälipark,mm,47.3463482,7.9104394,Olten,20
34411,Zweisimmen,m,46.5553701,7.3728404,Zweisimmen,20
34413,Egerkingen - Gäupark,mm,47.3175094,7.8020478,Egerkingen,20
34420,Lyss Lyssbachpark,mm,47.078457,7.304151,Lyss,20
34430,Ostermundigen,mm,46.956966,7.495635,Ostermundigen,20
34440,Bern - Bubenberg,mm,46.9474381,7.4379673,Bern,20
34450,Bern - Bachmätteli,mm,46.9392241,7.3900576,Bern,20
34460,Langnau i.E.,mm,46.9398058,7.787702,Langnau i. E.,20
34463,Reinach AG,mm,47.2578265,8.1816799,Reinach AG,20
