branch_id,branch_name,branch_type,city,inner_population,outer_population,population_score,area_coverage,reach_factor,income_per_capita,income_score,pop_income_score,total_score
77351,VOI Sempach Stadt,voi,Sempach Stadt,6153.0,12082.0,0.24462666666666666,0.7815119133333334,0.7463,0.0,0.0,0.0,0.3043203826666667
77354,VOI Büron,voi,Büron,9016.0,20384.0,0.37632,0.8949088792,0.8546,27363.0,0.03635384615384615,0.0,0.3846085450707692
77355,VOI Luzern Wesemlin,voi,Luzern,53384.0,105399.0,1.0,0.7785091837333333,0.7434,36474.0,0.17652307692307692,0.18364225699857173,0.6020749035309964
77356,VOI Stans,voi,Stans,13209.0,15210.0,0.45364000000000004,0.6358020838666667,0.6071,37866.0,0.19793846153846154,0.0,0.36355010908102564
77357,VOI Alpnach,voi,Alpnach Dorf,6083.0,9429.0,0.22507333333333335,0.5797860326666667,0.5537,0.0,0.0,0.0,0.23884920653333336
44590,Plan-les-Ouates,mm,Plan-les-Ouates,62748.0,226797.0,1.0,0.9799482670666667,0.9358,41620.0,0.2556923076923077,0.28898904509292633,0.6985059239703801
93740,Steckborn,m,Steckborn,3850.0,4055.0,0.1297,0.5198901769333334,0.4965,35218.0,0.1572,0.0,0.22397803538666666
73270,Luzern - Würzenbachstrasse,m,Luzern,15610.0,84475.0,0.7496,0.5736836516,0.5478,36474.0,0.17652307692307692,0.1612774532683183,0.46195683635827905
93750,Neunkirch,m,Neunkirch,3089.0,8639.0,0.13996666666666666,0.9003619369333333,0.8598,31087.0,0.09364615384615385,0.0,0.32677161815589745
44600,Pont-Rouge,m,Grand-Lancy,189173.0,194529.0,1.0,1.0,0.9956,0.0,0.0,0.0,0.59956
73280,Oberkirch,m,Oberkirch LU,16819.0,13637.0,0.53942,0.8271034745333333,0.7898,0.0,0.0,0.0,0.4062266949066667
73290,Root,m,Root,9556.0,32062.0,0.46857333333333334,0.7754386625333333,0.7405,29969.0,0.07644615384615384,0.0,0.38499896327589744
93770,Wald ZH,m,Wald,9235.0,18859.0,0.37199333333333334,0.7922260738666667,0.7565,0.0,0.0,0.0,0.34569321477333337
65100,Aigle - Chablais Centre,mmm,Aigle,11250.0,14652.0,0.39768000000000003,0.7542040545333334,0.7202,22640.0,0.0,0.0,0.3421648109066667
73300,Wylpark Hergiswil,m,Hergiswil NW,7339.0,32003.0,0.40906,0.5040579808000001,0.4813,0.0,0.0,0.0,0.27165959616
93780,Aadorf,m,Aadorf,11819.0,12896.0,0.4011466666666667,1.0,0.97,33814.0,0.1356,0.0,0.444464
93790,Andelfingen,m,Kleinandelfingen,4680.0,10196.0,0.19277333333333332,1.0,0.9856,36426.0,0.17578461538461537,0.0,0.3915489230769231
